ads_txt_line,ad_system,seller_id,relationship,cert_authority_id,sellers_json_found,seller_type,seller_name,seller_domain
79,google.com,pub-5995202563537249,RESELLER,f08c47fec0942fa0,NO,,,
1058,google.com,pub-0000000000000000,DIRECT,f08c47fec0942fa0,NO,,,
1059,google.com,pub-0613861124702373,DIRECT,f08c47fec0942fa0,NO,,,
1060,google.com,pub-0796790890307838,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Ampliffy,ampliffy.com
1061,google.com,pub-1062972861553303,RESELLER,f08c47fec0942fa0,YES,BOTH,Adapex INC DBA Adapex LLC,adapex.io
1062,google.com,pub-1071602463683652,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Vice Media,
1063,google.com,pub-1161932234680410,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,Datawrkz Pte Ltd,
1064,google.com,pub-1237260803267758,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,Geniee International Pte. Ltd,geniee.co.jp
1065,google.com,pub-1313834454494130,RESELLER,f08c47fec0942fa0,YES,BOTH,Azerion Technology BV,headerlift.com
1066,google.com,pub-1314236495184973,RESELLER,,YES,PUBLISHER,UAB AKTYVUS SEKTORIUS,eskimi.com
1067,google.com,pub-1320774679920841,RESELLER,f08c47fec0942fa0,YES,BOTH,M.D. PRIMIS TECHNOLOGIES LTD,primis.tech
1068,google.com,pub-1325340429823502,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Adpushup Inc.,adpushup.com
1069,google.com,pub-1343218370015870,RESELLER,f08c47fec0942fa0,YES,BOTH,IMPACTIFY S.à r.l.,impactify.io
1070,google.com,pub-1415854744871971,RESELLER,,NO,,,
1071,google.com,pub-1463455084986126,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,"PubGrowth, LLC",
1072,google.com,pub-1490961421801363,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Jetlaging S.L.,
1073,google.com,pub-1539993421461332,RESELLER,f08c47fec0942fa0,NO,,,
1074,google.com,pub-1546102924523412,RESELLER,f08c47fec0942fa0,NO,,,
1075,google.com,pub-1577494284020288,RESELLER,,NO,,,
1076,google.com,pub-1688327249268695,RESELLER,f08c47fec0942fa0,NO,,,
1077,google.com,pub-1724616865008460,RESELLER,f08c47fec0942fa0,YES,BOTH,RELAP MEXICO S.A. de C.V.,relappro.com
1078,google.com,pub-1789253751882305,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,NoBid Inc,nobid.io
1079,google.com,pub-1835489473992347,DIRECT,f08c47fec0942fa0,YES,BOTH,OpsCo LLC,ops.co
1080,google.com,pub-1934348181677187,RESELLER,f08c47fec0942fa0,NO,,,
1081,google.com,pub-1937576406332709,DIRECT,f08c47fec0942fa0,YES,BOTH,成果行銷有限公司,sales-frontier.com
1082,google.com,pub-1937576406332709,RESELLER,f08c47fec0942fa0,YES,BOTH,成果行銷有限公司,sales-frontier.com
1083,google.com,pub-1968276357835282,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,"VLN Servicios Publicitarios Integrales, SL DBA SunMedia",
1084,google.com,pub-2024690810381654,RESELLER,f08c47fec0942fa0,YES,BOTH,BROW.SI MOBILE LLC,browsi.com
1085,google.com,pub-2067800044730756,RESELLER,f08c47fec0942fa0,YES,BOTH,株式会社アイモバイル,i-mobile.co.jp
1086,google.com,pub-2128757167812663,RESELLER,f08c47fec0942fa0,YES,BOTH,Adpone SL,adpone.com
1087,google.com,pub-2128757167812663,RESELLER,f08c47fec0942fa0,YES,BOTH,Adpone SL,adpone.com
1088,google.com,pub-2231446968599521,RESELLER,f08c47fec0942fa0,YES,BOTH,Beintoo S.p.A.,beintoo.com
1089,google.com,pub-2365476750527237,RESELLER,,NO,,,
1090,google.com,pub-2403018226404213,RESELLER,f08c47fec0942fa0,YES,BOTH,Ellipsis Limited,vdo.ai
1091,google.com,pub-2561470205289901,RESELLER,f08c47fec0942fa0,YES,BOTH,Readwhere Digital DMCC,readwhere.digital
1092,google.com,pub-2661397759906392,RESELLER,f08c47fec0942fa0,NO,,,
1093,google.com,pub-2676898002317977,RESELLER,f08c47fec0942fa0,NO,,,
1094,google.com,pub-2752900512448375,RESELLER,,NO,,,
1095,google.com,pub-2754312069774654,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,TUBIA FZCO,gitberry.com
1096,google.com,pub-2801326990568508,RESELLER,f08c47fec0942fa0,YES,BOTH,ユナイテッド株式会社,ad-stir.com
1097,google.com,pub-2831120411392012,RESELLER,f08c47fec0942fa0,YES,BOTH,Vidoomy,vidoomy.com
1098,google.com,pub-2843405949989126,RESELLER,f08c47fec0942fa0,YES,BOTH,Maelico LTD,hyperaudience.com
1099,google.com,pub-2930805104418204,RESELLER,f08c47fec0942fa0,YES,BOTH,Yediot Internet,adipolo.com
1100,google.com,pub-3191894791526522,RESELLER,f08c47fec0942fa0,NO,,,
1101,google.com,pub-3494520468788589,DIRECT,f08c47fec0942fa0,YES,BOTH,Vuukle DMCC,vuukle.com
1102,google.com,pub-3565385483761681,DIRECT,f08c47fec0942fa0,YES,BOTH,"DIDNA, INC.",didna.io
1103,google.com,pub-3565385483761681,RESELLER,f08c47fec0942fa0,YES,BOTH,"DIDNA, INC.",didna.io
1104,google.com,pub-3581134557083583,RESELLER,,NO,,,
1105,google.com,pub-3762254771375579,RESELLER,f08c47fec0942fa0,NO,,,
1106,google.com,pub-3769010358500643,RESELLER,f08c47fec0942fa0,NO,,,
1107,google.com,pub-3846271310706723,RESELLER,f08c47fec0942fa0,YES,BOTH,株式会社フォーエム,fourm.jp
1108,google.com,pub-3848273848634341,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,"GumGum, Inc",
1109,google.com,pub-3859050685269056,RESELLER,f08c47fec0942fa0,YES,BOTH,株式会社fluct,adingo.jp
1110,google.com,pub-3892029022285727,DIRECT,f08c47fec0942fa0,NO,,,
1111,google.com,pub-3960095709930134,RESELLER,f08c47fec0942fa0,YES,BOTH,152 Media,152media.info
1112,google.com,pub-3990748024667386,RESELLER,f08c47fec0942fa0,NO,,,
1113,google.com,pub-4052393426211360,DIRECT,f08c47fec0942fa0,YES,BOTH,株式会社サイバーエージェント,caprofitx.com
1114,google.com,pub-4052393426211360,RESELLER,f08c47fec0942fa0,YES,BOTH,株式会社サイバーエージェント,caprofitx.com
1115,google.com,pub-4090704406626496,RESELLER,f08c47fec0942fa0,YES,BOTH,TargetVideo GmbH,brid.tv
1116,google.com,pub-4094152962392845,RESELLER,f08c47fec0942fa0,YES,BOTH,Platform One Inc,impact-ad.jp
1117,google.com,pub-4177862836555934,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,NYTimes,nytimes.com
